BARRIO;METROS;HABITACIONES;PRECIO_TOTAL;PRECIO_M2;PRECIO_M2_BARRIO;DIFERENCIA;OPORTUNIDAD
Villaverde;42;3;239.412 €;5700;5020;680.29;NORMAL
Retiro;63;4;503.219 €;7988;6840;1147.62;NORMAL
Moratalaz;95;5;515.126 €;5422;5194;228.38;NORMAL
Vicalvaro;129;2;306.093 €;2373;2877;-504.18;OPORTUNIDAD
Villa de Vallecas;84;1;351.360 €;4183;4964;-781.14;OPORTUNIDAD
Chamartin;72;1;437.966 €;6083;5396;686.87;NORMAL
Tetuan;43;2;135.467 €;3150;2789;361.4;NORMAL
Chamberi;54;3;277.718 €;5143;4398;744.94;NORMAL
Hortaleza;75;2;311.853 €;4158;4495;-336.96;NORMAL
Chamberi;54;3;316.525 €;5862;5947;-85.41;NORMAL
Chamartin;143;1;689.613 €;4822;5648;-825.53;OPORTUNIDAD
Barajas;59;3;292.189 €;4952;5065;-112.64;NORMAL
Vicalvaro;79;4;480.262 €;6079;5361;718.27;NORMAL
Barajas;49;5;248.700 €;5076;4658;417.52;NORMAL
Carabanchel;83;4;314.873 €;3794;4261;-467.34;OPORTUNIDAD
Usera;76;4;507.750 €;6681;5642;1038.93;NORMAL
Villaverde;64;1;261.537 €;4087;4924;-837.48;OPORTUNIDAD
Chamartin;146;4;950.176 €;6508;6543;-34.94;NORMAL
Ciudad Lineal;82;2;286.463 €;3493;3096;397.45;NORMAL
Centro;99;1;571.991 €;5778;6908;-1130.31;OPORTUNIDAD
Puente de Vallecas;96;5;579.438 €;6036;5233;802.82;NORMAL
Retiro;66;3;475.786 €;7209;6911;297.89;NORMAL
Chamberi;140;3;640.588 €;4576;4689;-113.37;NORMAL
Vicalvaro;118;3;486.618 €;4124;5025;-901.11;OPORTUNIDAD
Arganzuela;47;2;125.226 €;2664;2872;-207.6;NORMAL
Hortaleza;54;2;368.563 €;6825;6294;531.26;NORMAL
Salamanca;133;5;666.710 €;5013;5761;-748.14;OPORTUNIDAD
Retiro;129;5;737.987 €;5721;6995;-1274.17;OPORTUNIDAD
Chamartin;101;3;226.172 €;2239;2747;-507.67;OPORTUNIDAD
Carabanchel;119;2;417.952 €;3512;3316;196.21;NORMAL
Moratalaz;129;5;423.579 €;3284;2780;503.56;NORMAL
Centro;80;3;376.820 €;4710;5194;-483.75;NORMAL
Moncloa;53;2;256.861 €;4846;5968;-1121.55;OPORTUNIDAD
Salamanca;120;1;269.805 €;2248;2637;-388.62;OPORTUNIDAD
Villaverde;55;1;271.900 €;4944;4486;457.65;NORMAL
